City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nishihara,JP,2021-09-28 19:28:14,26.1842,127.7558,81.68,92,40,9.22
1,Bud,US,2021-09-28 19:28:14,39.447,-86.1758,84.67,63,0,3.24
2,Saint-Joseph,RE,2021-09-28 19:28:14,-21.3667,55.6167,70.16,74,24,12.41
3,Bengkulu,ID,2021-09-28 19:28:15,-3.8004,102.2655,75.61,91,92,3.31
4,Chapais,CA,2021-09-28 19:28:15,49.7834,-74.8492,46.18,74,100,10.96
5,Atuona,PF,2021-09-28 19:28:16,-9.8,-139.0333,77.61,76,21,19.8
6,Ribeira Grande,PT,2021-09-28 19:28:16,38.5167,-28.7,73.8,88,40,14.97
7,Eldorado,BR,2021-09-28 19:28:16,-23.7869,-54.2836,95.09,16,2,5.61
8,Saint George,US,2021-09-28 19:28:17,37.1041,-113.5841,86.47,33,1,1.01
9,Almaty,KZ,2021-09-28 19:28:17,43.25,76.95,55.31,54,75,2.24
10,Krasnoye,UA,2021-09-28 19:28:18,49.9145,24.6134,52.95,79,12,8.59
11,Uhlove,UA,2021-09-28 19:28:18,44.8215,33.6045,56.57,64,42,10.36
12,Bluff,NZ,2021-09-28 19:28:18,-46.6,168.3333,43.81,83,89,14.56
13,Punta Arenas,CL,2021-09-28 19:26:00,-53.15,-70.9167,50.11,43,40,37.98
14,Hobart,AU,2021-09-28 19:24:59,-42.8794,147.3294,48.06,91,90,5.75
15,Araouane,ML,2021-09-28 19:28:19,18.9048,-3.5265,97.11,10,0,10.09
16,Bayir,TR,2021-09-28 19:28:19,37.2687,28.2167,66.72,36,0,4.14
17,Tuktoyaktuk,CA,2021-09-28 19:25:46,69.4541,-133.0374,32.0,100,90,20.71
18,Alofi,NU,2021-09-28 19:26:00,-19.0595,-169.9187,76.89,94,75,11.5
19,Cumbum,IN,2021-09-28 19:28:20,9.7333,77.3,71.91,89,100,7.4
20,Chokurdakh,RU,2021-09-28 19:28:21,70.6333,147.9167,22.87,94,97,8.88
21,Dwarka,IN,2021-09-28 19:28:21,22.2394,68.9678,81.21,82,100,6.53
22,Arraial Do Cabo,BR,2021-09-28 19:28:22,-22.9661,-42.0278,78.76,78,0,20.71
23,Zalari,RU,2021-09-28 19:28:22,53.5584,102.5065,33.17,94,100,8.05
24,Ponerihouen,NC,2021-09-28 19:28:22,-21.0833,165.4,69.04,83,89,9.13
25,Lasa,IT,2021-09-28 19:28:23,46.6166,10.7002,62.02,92,100,3.83
26,Albany,US,2021-09-28 19:28:15,42.6001,-73.9662,67.55,77,100,5.61
27,Cape Town,ZA,2021-09-28 19:24:40,-33.9258,18.4232,61.27,78,20,18.41
28,Ushuaia,AR,2021-09-28 19:28:24,-54.8,-68.3,49.66,43,75,21.85
29,Shchigry,RU,2021-09-28 19:28:24,51.8755,36.9043,44.42,78,100,10.16
30,Belaya Gora,RU,2021-09-28 19:28:25,68.5333,146.4167,23.04,88,100,11.18
31,Hermanus,ZA,2021-09-28 19:28:12,-34.4187,19.2345,59.9,83,62,7.38
32,Airai,TL,2021-09-28 19:25:08,-8.9266,125.4092,57.72,77,12,2.77
33,Bougouni,ML,2021-09-28 19:28:12,11.417,-7.479,81.36,63,5,0.83
34,Georgetown,MY,2021-09-28 19:27:38,5.4112,100.3354,78.73,94,40,1.99
35,Kavaratti,IN,2021-09-28 19:27:58,10.5669,72.642,81.43,80,99,18.21
36,Umm Lajj,SA,2021-09-28 19:28:26,25.0213,37.2685,80.69,62,1,10.76
37,Beringovskiy,RU,2021-09-28 19:28:26,63.05,179.3167,30.6,57,20,7.52
38,Souillac,MU,2021-09-28 19:28:27,-20.5167,57.5167,72.36,68,75,17.27
39,Bonavista,CA,2021-09-28 19:26:39,48.6499,-53.1147,66.11,73,8,16.98
40,Jamestown,US,2021-09-28 19:26:55,42.097,-79.2353,69.53,55,1,5.99
41,Upernavik,GL,2021-09-28 19:28:27,72.7868,-56.1549,26.98,53,30,5.7
42,Shancheng,CN,2021-09-28 19:28:28,34.7953,116.0817,60.13,96,0,4.85
43,Mitsamiouli,KM,2021-09-28 19:28:28,-11.3847,43.2844,77.92,79,5,6.26
44,Severo-Kurilsk,RU,2021-09-28 19:24:48,50.6789,156.125,49.96,78,94,6.78
45,Kapaa,US,2021-09-28 19:26:43,22.0752,-159.319,80.58,71,75,3.0
46,Khatanga,RU,2021-09-28 19:28:29,71.9667,102.5,27.7,69,100,6.87
47,Leh,IN,2021-09-28 19:28:29,34.1667,77.5833,56.79,38,0,4.83
48,Guapore,BR,2021-09-28 19:28:30,-28.8456,-51.8903,63.75,99,100,4.7
49,Iqaluit,CA,2021-09-28 19:28:30,63.7506,-68.5145,33.53,69,40,3.0
50,Santa Cruz Cabralia,BR,2021-09-28 19:28:30,-16.2781,-39.0247,77.23,73,75,9.22
51,Arlit,NE,2021-09-28 19:28:23,18.7369,7.3853,96.66,13,93,12.73
52,Rikitea,PF,2021-09-28 19:28:31,-23.1203,-134.9692,73.06,70,54,20.24
53,Longyearbyen,SJ,2021-09-28 19:24:58,78.2186,15.6401,37.24,75,75,11.5
54,Sorland,NO,2021-09-28 19:28:32,67.667,12.6934,53.67,82,100,3.38
55,Faanui,PF,2021-09-28 19:28:32,-16.4833,-151.75,79.34,74,21,18.43
56,Aklavik,CA,2021-09-28 19:28:32,68.2191,-135.0107,31.03,94,100,17.18
57,Atar,MR,2021-09-28 19:28:33,20.5169,-13.0499,102.99,8,87,11.52
58,Tabuk,PH,2021-09-28 19:28:33,17.4189,121.4443,73.58,92,16,2.44
59,Forbes,AU,2021-09-28 19:28:33,-33.3833,148.0167,55.96,93,100,11.23
60,Sobolevo,RU,2021-09-28 19:28:34,54.4299,31.8996,44.94,87,78,7.72
61,Sangar,RU,2021-09-28 19:28:34,63.9242,127.4739,32.5,67,0,1.01
62,Gamba,GA,2021-09-28 19:28:35,-2.65,10.0,75.43,87,60,7.11
63,Payson,US,2021-09-28 19:28:35,40.0444,-111.7321,79.0,34,75,11.99
64,Vostok,RU,2021-09-28 19:28:35,46.4856,135.8833,49.64,96,3,4.45
65,Qaqortoq,GL,2021-09-28 19:28:36,60.7167,-46.0333,41.5,42,0,6.8
66,Vila Franca Do Campo,PT,2021-09-28 19:28:36,37.7167,-25.4333,77.2,84,29,6.35
67,Asyut,EG,2021-09-28 19:28:37,27.181,31.1837,78.98,28,0,8.57
68,Vaini,TO,2021-09-28 19:27:54,-21.2,-175.2,71.76,94,20,5.75
69,Hasaki,JP,2021-09-28 19:28:37,35.7333,140.8333,63.28,80,10,7.38
70,Rocha,UY,2021-09-28 19:28:36,-34.4833,-54.3333,58.6,87,100,10.11
71,Hilo,US,2021-09-28 19:25:20,19.7297,-155.09,79.29,78,75,0.0
72,Isheyevka,RU,2021-09-28 19:28:38,54.4167,48.2667,44.11,65,100,9.44
73,East London,ZA,2021-09-28 19:28:38,-33.0153,27.9116,63.46,74,100,9.06
74,Mar Del Plata,AR,2021-09-28 19:28:04,-38.0023,-57.5575,59.0,69,0,8.99
75,Saskylakh,RU,2021-09-28 19:28:39,71.9167,114.0833,21.99,92,100,4.59
76,Tiksi,RU,2021-09-28 19:28:39,71.6872,128.8694,31.03,98,99,2.35
77,Coolum Beach,AU,2021-09-28 19:28:40,-26.5333,153.1,67.1,73,100,6.31
78,Hithadhoo,MV,2021-09-28 19:28:17,-0.6,73.0833,82.58,74,21,9.62
79,Manavalakurichi,IN,2021-09-28 19:28:41,8.1333,77.3,78.89,88,65,14.25
80,Karratha,AU,2021-09-28 19:28:30,-20.7377,116.8463,70.14,53,1,11.03
81,Lompoc,US,2021-09-28 19:28:41,34.6391,-120.4579,78.94,63,1,13.8
82,Port Alfred,ZA,2021-09-28 19:27:53,-33.5906,26.891,61.3,75,50,7.7
83,Bredasdorp,ZA,2021-09-28 19:25:51,-34.5322,20.0403,57.27,86,86,4.56
84,Norman Wells,CA,2021-09-28 19:28:42,65.282,-126.8329,32.04,93,90,11.5
85,Geraldton,AU,2021-09-28 19:28:43,-28.7667,114.6,57.61,94,90,5.75
86,Krasnokamensk,RU,2021-09-28 19:28:43,50.0979,118.0369,31.89,73,0,14.07
87,Paracuru,BR,2021-09-28 19:28:44,-3.41,-39.0306,84.22,65,4,15.9
88,Harper,LR,2021-09-28 19:28:44,4.375,-7.7169,77.67,83,100,6.51
89,Nueva Guinea,NI,2021-09-28 19:28:44,11.6876,-84.4562,82.67,75,66,8.75
90,Gizo,SB,2021-09-28 19:28:45,-8.103,156.8419,80.51,80,100,7.78
91,Dhidhdhoo,MV,2021-09-28 19:28:45,6.8833,73.1,82.4,80,64,17.6
92,Dickinson,US,2021-09-28 19:28:46,29.4608,-95.0513,85.98,89,75,5.75
93,Bethel,US,2021-09-28 19:28:46,41.3712,-73.414,70.16,85,75,5.75
94,Vao,NC,2021-09-28 19:28:47,-22.6667,167.4833,68.4,74,34,16.98
95,Flin Flon,CA,2021-09-28 19:25:28,54.7682,-101.865,69.64,49,20,8.05
96,Puerto Ayora,EC,2021-09-28 19:24:48,-0.7393,-90.3518,78.76,84,88,10.11
97,Tuatapere,NZ,2021-09-28 19:28:47,-46.1333,167.6833,43.83,93,50,6.06
98,Kodiak,US,2021-09-28 19:27:40,57.79,-152.4072,47.71,71,90,5.75
99,Cravo Norte,CO,2021-09-28 19:28:48,6.3017,-70.2041,90.36,52,100,4.16
100,Acapulco,MX,2021-09-28 19:25:01,16.8634,-99.8901,84.9,66,70,4.03
101,Yashalta,RU,2021-09-28 19:28:49,46.3395,42.2762,53.73,70,8,6.73
102,Dingle,PH,2021-09-28 19:28:49,10.9995,122.6711,75.7,90,100,2.84
103,Komsomolskiy,UZ,2021-09-28 19:28:50,40.4272,71.7189,65.12,52,76,9.22
104,Prince Rupert,CA,2021-09-28 19:28:50,54.3161,-130.3201,49.69,79,75,2.3
105,San Javier,ES,2021-09-28 19:28:51,37.8063,-0.8374,76.21,74,20,3.44
106,Mahebourg,MU,2021-09-28 19:28:51,-20.4081,57.7,72.25,68,75,17.27
107,Lucea,JM,2021-09-28 19:28:51,18.451,-78.1736,88.86,68,10,11.05
108,Yulara,AU,2021-09-28 19:28:52,-25.2406,130.9889,55.24,41,0,6.91
109,Barrow,US,2021-09-28 19:28:52,71.2906,-156.7887,30.22,86,90,5.75
110,Shenjiamen,CN,2021-09-28 19:28:53,29.9576,122.298,76.17,81,0,6.24
111,Chuy,UY,2021-09-28 19:28:53,-33.6971,-53.4616,59.56,87,100,13.31
112,Kahului,US,2021-09-28 19:28:53,20.8947,-156.47,83.46,81,40,19.57
113,Nabire,ID,2021-09-28 19:28:54,-3.3667,135.4833,77.49,88,100,2.95
114,Anderson,US,2021-09-28 19:28:54,34.5334,-82.6499,88.02,51,1,1.99
115,Ballitoville,ZA,2021-09-28 19:28:55,-29.539,31.2144,66.34,82,75,2.3
116,Dawei,MM,2021-09-28 19:28:55,14.0833,98.2,76.21,93,100,2.42
117,Fort Nelson,CA,2021-09-28 19:25:59,58.8053,-122.7002,38.79,93,90,2.3
118,Sakakah,SA,2021-09-28 19:27:14,29.9697,40.2064,81.97,27,0,9.66
119,Cherskiy,RU,2021-09-28 19:28:56,68.75,161.3,6.85,91,37,3.67
120,Inhuma,BR,2021-09-28 19:28:56,-6.6683,-41.7078,99.25,14,18,7.85
121,Kimbe,PG,2021-09-28 19:28:56,-5.5502,150.1429,75.15,92,100,3.2
122,New Norfolk,AU,2021-09-28 19:28:57,-42.7826,147.0587,47.71,78,100,0.94
123,Busselton,AU,2021-09-28 19:26:59,-33.65,115.3333,57.04,81,91,11.16
124,Kieta,PG,2021-09-28 19:28:58,-6.2167,155.6333,77.7,91,100,2.37
125,Avarua,CK,2021-09-28 19:28:58,-21.2078,-159.775,77.05,78,75,8.05
126,Pevek,RU,2021-09-28 19:28:12,69.7008,170.3133,19.51,85,98,5.21
127,Qaanaaq,GL,2021-09-28 19:24:50,77.484,-69.3632,29.03,69,100,2.53
128,Ponta Do Sol,PT,2021-09-28 19:28:20,32.6667,-17.1,75.83,76,70,3.6
129,Romilly-Sur-Seine,FR,2021-09-28 19:28:59,48.5108,3.7263,54.19,70,6,5.19
130,Celestun,MX,2021-09-28 19:29:00,20.8667,-90.4,86.67,62,71,9.64
131,Sao Filipe,CV,2021-09-28 19:28:40,14.8961,-24.4956,80.1,78,0,10.13
132,Beloha,MG,2021-09-28 19:29:00,-25.1667,45.05,73.04,66,76,7.76
133,Padang,ID,2021-09-28 19:26:48,-0.9492,100.3543,77.38,91,100,2.42
134,Nioro,GM,2021-09-28 19:29:01,13.35,-15.75,84.81,66,2,2.26
135,Xining,CN,2021-09-28 19:29:02,36.6167,101.7667,51.67,43,100,3.13
136,Merauke,ID,2021-09-28 19:29:02,-8.4667,140.3333,75.43,88,96,10.89
137,Ancud,CL,2021-09-28 19:29:02,-41.8697,-73.8203,56.73,58,84,5.68
138,Macusani,PE,2021-09-28 19:29:03,-14.0833,-70.4333,50.88,56,72,15.26
139,Saint-Philippe,RE,2021-09-28 19:28:21,-21.3585,55.7679,71.15,76,15,14.67
140,Mwene-Ditu,CD,2021-09-28 19:29:03,-7.0,23.45,70.05,71,77,4.7
141,Broome,US,2021-09-28 19:29:04,42.2506,-75.833,66.38,63,90,1.01
142,Mataura,NZ,2021-09-28 19:27:53,-46.1927,168.8643,43.48,94,17,2.73
143,Mezen,RU,2021-09-28 19:29:04,65.8522,44.24,43.79,92,89,1.14
144,Yellowknife,CA,2021-09-28 19:25:10,62.456,-114.3525,48.42,100,90,5.99
145,Inzhavino,RU,2021-09-28 19:29:05,52.3185,42.4937,41.72,76,66,7.31
146,Karla,EE,2021-09-28 19:29:05,59.3723,24.9275,45.05,91,0,8.05
147,Paamiut,GL,2021-09-28 19:27:31,61.994,-49.6678,35.49,49,2,1.16
148,Mount Isa,AU,2021-09-28 19:29:06,-20.7333,139.5,78.57,57,90,6.91
149,Kurchum,KZ,2021-09-28 19:29:06,48.5722,83.6542,50.22,43,100,6.2
150,Victoria,HK,2021-09-28 19:24:40,22.2855,114.1577,85.21,83,17,1.99
151,Mount Gambier,AU,2021-09-28 19:29:07,-37.8333,140.7667,53.51,94,90,4.61
152,Asau,RO,2021-09-28 19:28:07,46.4333,26.4,52.75,93,100,1.81
153,San Patricio,US,2021-09-28 19:28:22,28.017,-97.5169,95.16,43,71,12.86
154,Outlook,CA,2021-09-28 19:29:08,51.5001,-107.0513,76.69,16,100,15.48
155,Provins,FR,2021-09-28 19:29:08,48.5833,3.1667,59.85,71,21,6.22
156,Avera,US,2021-09-28 19:29:08,33.194,-82.5271,87.71,40,92,5.68
157,Nanortalik,GL,2021-09-28 19:29:09,60.1432,-45.2371,40.15,53,1,8.16
158,Iberia,US,2021-09-28 19:29:09,29.9502,-91.7507,71.67,100,90,5.75
159,Dunedin,NZ,2021-09-28 19:29:09,-45.8742,170.5036,47.8,73,54,5.7
160,Orlik,RU,2021-09-28 19:28:16,52.5178,99.825,27.68,58,84,2.15
161,Smolenka,RU,2021-09-28 19:29:10,52.1352,113.4974,35.67,64,40,4.47
162,Hambantota,LK,2021-09-28 19:29:10,6.1241,81.1185,80.94,83,40,11.5
163,Dikson,RU,2021-09-28 19:28:03,73.5069,80.5464,36.07,99,100,16.2
164,Milkovo,RU,2021-09-28 19:29:11,54.7167,158.6167,46.99,66,100,8.46
165,Deputatskiy,RU,2021-09-28 19:29:11,69.3,139.9,16.36,87,55,2.75
166,Sao Joao Da Barra,BR,2021-09-28 19:24:48,-21.6403,-41.0511,80.69,78,6,16.2
167,La Ligua,CL,2021-09-28 19:29:12,-32.4524,-71.2311,64.18,30,1,7.9
168,Gillette,US,2021-09-28 19:25:03,44.2911,-105.5022,88.72,14,1,18.99
169,Panjab,AF,2021-09-28 19:29:13,34.388,67.0233,52.79,20,0,2.95
170,Lamu,KE,2021-09-28 19:29:13,-2.2717,40.902,79.02,87,97,11.43
171,Caravelas,BR,2021-09-28 19:29:14,-17.7125,-39.2481,77.99,66,9,8.3
172,Manta,EC,2021-09-28 19:24:25,-0.95,-80.7333,82.18,74,20,9.22
173,Opunake,NZ,2021-09-28 19:29:14,-39.4556,173.8583,50.34,79,14,17.18
174,Miraflores,MX,2021-09-28 19:29:15,19.2167,-98.8083,74.03,57,84,2.98
175,Kiama,AU,2021-09-28 19:29:15,-34.6833,150.8667,61.57,85,100,5.99
176,Westport,US,2021-09-28 19:26:22,41.1415,-73.3579,73.27,86,90,5.01
177,Coquimbo,CL,2021-09-28 19:29:16,-29.9533,-71.3436,60.53,77,40,12.66
178,Schneeberg,DE,2021-09-28 19:29:16,50.6,12.6333,55.49,98,100,3.0
179,Shyryayeve,UA,2021-09-28 19:29:16,47.3805,30.1964,55.83,58,100,7.78
180,Auki,SB,2021-09-28 19:29:17,-8.7676,160.7034,77.54,86,100,4.38
181,Butaritari,KI,2021-09-28 19:29:17,3.0707,172.7902,83.12,77,10,23.94
182,Pisco,PE,2021-09-28 19:27:10,-13.7,-76.2167,66.02,82,75,10.36
183,Ust-Nera,RU,2021-09-28 19:29:18,64.5667,143.2,19.69,79,1,4.38
184,Nikolskoye,RU,2021-09-28 19:26:04,59.7035,30.7861,49.87,74,100,3.44
185,Senador Jose Porfirio,BR,2021-09-28 19:29:18,-2.5908,-51.9542,87.48,54,51,4.88
186,Lamar,US,2021-09-28 19:29:19,33.6668,-95.5836,93.97,46,20,0.0
187,Port Elizabeth,ZA,2021-09-28 19:29:02,-33.918,25.5701,59.29,82,75,5.75
188,Kununurra,AU,2021-09-28 19:25:59,-15.7667,128.7333,78.78,73,100,8.05
189,Noumea,NC,2021-09-28 19:27:19,-22.2763,166.4572,62.58,81,63,9.71
190,Chenzhou,CN,2021-09-28 19:29:20,25.8,113.0333,81.59,67,31,2.24
